BIOSAMPLE	BIOSAMPLE_COMMENT	BIOSAMPLE_ORGANISM	BIOSAMPLE_TITLE	ENA-CHECKLIST	ENA_first_public	GUNC_clade_separation_score	GUNC_contamination_score	GUNC_reference_representation_score	GUNC_version	ID	INSDC_center_name	INSDC_status	MAG_coverage_software	SPIRE_genome_cluster	SPIRE_genome_id	Submitter_Id	assembly_quality	assembly_software	binning_parameters	binning_software	collection_date	completeness_score	completeness_software	contamination_score	contig_N50	derived_from_assembly	env_broad_scale	env_medium	geo_loc_name	geographic_location_(latitude)	geographic_location_(longitude)	host	isolation_source	lat_lon	linked_to_SPIRE_sample	linked_to_SPIRE_study	linked_to_analysis_project	local_environmental_context	metagenomic_source	number_of_contigs	project_name	sample_ID	sample_derived_from	sample_name	scientific_name	taxonomic_classification	taxonomic_classification_software	taxonomic_identity_marker
SAMN04262577		Acinetobacter johnsonii	Metagenome-Assembled Genome spire_mag_01092679 in SPIRE v01 classified as Acinetobacter johnsonii	ERC000047	2025-10-13	0.0	0.0	0.93	GUNC v1.0.6		EMBL Heidelberg	public	bwa mem	https://spire.embl.de/spire/v1/cluster/spire_v1_095_000023669	https://spire.embl.de/spire/v1/genome/spire_mag_01092679	spire_mag_01092679	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	megahit 1.2.9	tetramer and coverage	metaBAT2 v2.12.1	missing: third party data	59.88	CheckM2 v0.1.3	2.06	4542	ERZ27289578	missing: third party data	missing: third party data	missing: third party data	missing: third party data	missing: third party data		missing: third party data		https://spire.embl.de/spire/v1/sample/75720	https://spire.embl.de/spire/v1/study/501	ERP175227	missing: third party data	metagenomes	442	SPIRE v1: a Searchable Planetary-scale mIcrobiome REsource		SAMN04262577	spire_mag_01092679	Acinetobacter johnsonii	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii	GTDBtk v2.3.2_r214	multi-marker approach
SAMN04262578		Acinetobacter sp.	Metagenome-Assembled Genome spire_mag_01090839 in SPIRE v01 classified as Acinetobacter towneri	ERC000047	2025-10-14	0.0	0.0	0.93	GUNC v1.0.6		EMBL Heidelberg	public	bwa mem	https://spire.embl.de/spire/v1/cluster/specI_v4_00392	https://spire.embl.de/spire/v1/genome/spire_mag_01090839	spire_mag_01090839	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	megahit 1.2.9	tetramer and coverage	metaBAT2 v2.12.1	missing: third party data	53.57	CheckM2 v0.1.3	6.43	3801	ERZ27289581	missing: third party data	missing: third party data	missing: third party data	missing: third party data	missing: third party data		missing: third party data		https://spire.embl.de/spire/v1/sample/75856	https://spire.embl.de/spire/v1/study/501	ERP175227	missing: third party data	metagenomes	437	SPIRE v1: a Searchable Planetary-scale mIcrobiome REsource		SAMN04262578	spire_mag_01090839	Acinetobacter sp.	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter towneri	GTDBtk v2.3.2_r214	multi-marker approach
SAMN30917063		metagenome	Metagenome or environmental sample from metagenome																		2021-11-29								Italy: Verbania				wastewater	45.9356 N 8.5591 E								I_VB_pre_a						
SAMN30917064		metagenome	Metagenome or environmental sample from metagenome																		2021-11-29								Italy: Verbania				wastewater	45.9356 N 8.5591 E								I_VB_post_a						
SAMN30917065		metagenome	Metagenome or environmental sample from metagenome																		2021-12-06								Italy: Verbania				wastewater	45.9356 N 8.5591 E								I_VB_pre_b						
SAMN30917066		metagenome	Metagenome or environmental sample from metagenome																		2021-12-06								Italy: Verbania				wastewater	45.9356 N 8.5591 E								I_VB_post_b						
SAMN30917067		metagenome	Metagenome or environmental sample from metagenome																		2021-12-14								Italy: Cannobio				wastewater	46.0661 N 8.6920 E								I_CB_pre_c						
SAMN30917068		metagenome	Metagenome or environmental sample from metagenome																		2021-12-14								Italy: Cannobio				wastewater	46.0661 N 8.6920 E								I_CB_post_c						
SAMN30917069		metagenome	Metagenome or environmental sample from metagenome																		2021-12-21								Italy: Cannobio				wastewater	46.0661 N 8.6920 E								I_CB_pre_d						
SAMN30917070		metagenome	Metagenome or environmental sample from metagenome																		2021-12-21								Italy: Cannobio				wastewater	46.0661 N 8.6920 E								I_CB_post_d						
SAMN30917071		metagenome	Metagenome or environmental sample from metagenome																		2021-11-29								Italy: Verbania				wastewater	45.9356 N 8.5591 E								E_VB_pre_a						
SAMN30917072		metagenome	Metagenome or environmental sample from metagenome																		2021-11-29								Italy: Verbania				wastewater	45.9356 N 8.5591 E								E_VB_post_a						
SAMN30917073		metagenome	Metagenome or environmental sample from metagenome																		2021-12-06								Italy: Verbania				wastewater	45.9356 N 8.5591 E								E_VB_pre_b						
SAMN30917074		metagenome	Metagenome or environmental sample from metagenome																		2021-12-06								Italy: Verbania				wastewater	45.9356 N 8.5591 E								E_VB_post_b						
SAMN30917075		metagenome	Metagenome or environmental sample from metagenome																		2021-12-14								Italy: Cannobio				wastewater	46.0661 N 8.6920 E								E_CB_pre_c						
SAMN30917076		metagenome	Metagenome or environmental sample from metagenome																		2021-12-14								Italy: Cannobio				wastewater	46.0661 N 8.6920 E								E_CB_post_c						
SAMN30917077		metagenome	Metagenome or environmental sample from metagenome																		2021-12-21								Italy: Cannobio				wastewater	46.0661 N 8.6920 E								E_CB_pre_d						
SAMN30917078		metagenome	Metagenome or environmental sample from metagenome																		2021-12-21								Italy: Cannobio				wastewater	46.0661 N 8.6920 E								E_CB_post_d						
SAMN39496523		metagenome	Metagenome or environmental sample from metagenome							I_WWVB											2022-05-03								Italy: Verbania (WWTP)				wastewater	45.93612 N 8.55951 E														
SAMN39496524		metagenome	Metagenome or environmental sample from metagenome							I_WWGV											2022-05-03								Italy: Gravellona Toce (WWTP)				wastewater	45.93618 N 8.43244 E														
SAMN39496525		metagenome	Metagenome or environmental sample from metagenome							I_WWCB											2022-05-10								Italy: Cannobio (WWTP)				wastewater	46.07493 N 8.69253 E														
SAMN39496532		metagenome	Metagenome or environmental sample from metagenome							E_WWVB											2022-05-03								Italy: Verbania (WWTP)				wastewater	45.93612 N 8.55951 E														
SAMN39496533		metagenome	Metagenome or environmental sample from metagenome							E_WWGV											2022-05-03								Italy: Gravellona Toce (WWTP)				wastewater	45.93618 N 8.43244 E														
SAMN39496534		metagenome	Metagenome or environmental sample from metagenome							E_WWCB											2022-05-10								Italy: Cannobio (WWTP)				wastewater	46.07493 N 8.69253 E														
SAMN41509952	Sample from wastewater. Extracellular DNA	metagenome	Metagenome or environmental sample from metagenome																		2022-03-25								Mexico:Queretaro			missing	wastewater metagenome	20.7034 N 100.4459 W														
SAMN41509953	Sample from wastewater. Intracellular DNA	metagenome	Metagenome or environmental sample from metagenome																		2022-03-25								Mexico:Queretaro			missing	wastewater metagenome	20.7034 N 100.4459 W														
SAMN48974001		wastewater metagenome	Metagenome or environmental sample from wastewater metagenome																		2023-06								South Korea: Chungcheongnam-do, Geumsan			Environmental sample	Influent wastewater from sewage plant	36.10 N 127.48 E														
SAMN48974007		wastewater metagenome	Metagenome or environmental sample from wastewater metagenome																		2023-06								South Korea: Chungcheongnam-do, Geumsan			Environmental sample	Effluent wastewater from sewage plant	36.10 N 127.54 E														
SAMN52834520		metagenome	Metagenome or environmental sample from metagenome							e_POST-CB											2023-12-13								Italy: Cannobio				wastewater	46.0708 N 8.6930 E														
SAMN52834521		metagenome	Metagenome or environmental sample from metagenome							e_POST-GV											2023-11-29								Italy: Gravellona Toce				wastewater	45.9383 N 8.4326 E														
SAMN52834522		metagenome	Metagenome or environmental sample from metagenome							e_POST-MZ											2024-01-24								Italy: Mergozzo				wastewater	45.9675 N 8.4342 E														
SAMN52834523		metagenome	Metagenome or environmental sample from metagenome							e_POST-NO											2024-01-11								Italy: Novara				wastewater	45.5700 N 8.4604 E														
SAMN52834524		metagenome	Metagenome or environmental sample from metagenome							e_POST-VB											2024-01-17								Italy: Verbania				wastewater	45.9403 N 8.5611 E														
SAMN52834525		metagenome	Metagenome or environmental sample from metagenome							e_PRE-CB											2023-12-13								Italy: Cannobio				wastewater	46.0708 N 8.6930 E														
SAMN52834526		metagenome	Metagenome or environmental sample from metagenome							e_PRE-GV											2023-11-29								Italy: Gravellona Toce				wastewater	45.9383 N 8.4326 E														
SAMN52834527		metagenome	Metagenome or environmental sample from metagenome							e_PRE-MZ											2024-01-24								Italy: Mergozzo				wastewater	45.9675 N 8.4342 E														
SAMN52834528		metagenome	Metagenome or environmental sample from metagenome							e_PRE-NO											2024-01-11								Italy: Novara				wastewater	45.5700 N 8.4604 E														
SAMN52834529		metagenome	Metagenome or environmental sample from metagenome							e_PRE-VB											2024-01-17								Italy: Verbania				wastewater	45.9403 N 8.5611 E														
SAMN52834530		metagenome	Metagenome or environmental sample from metagenome							i_POST-CB											2023-12-13								Italy: Cannobio				wastewater	46.0708 N 8.6930 E														
SAMN52834531		metagenome	Metagenome or environmental sample from metagenome							i_POST-GV											2023-11-29								Italy: Gravellona Toce				wastewater	45.9383 N 8.4326 E														
SAMN52834532		metagenome	Metagenome or environmental sample from metagenome							i_POST-MZ											2024-01-24								Italy: Mergozzo				wastewater	45.9675 N 8.4342 E														
SAMN52834533		metagenome	Metagenome or environmental sample from metagenome							i_POST-NO											2024-01-11								Italy: Novara				wastewater	45.5700 N 8.4604 E														
SAMN52834534		metagenome	Metagenome or environmental sample from metagenome							i_POST-VB											2024-01-17								Italy: Verbania				wastewater	45.9403 N 8.5611 E														
SAMN52834535		metagenome	Metagenome or environmental sample from metagenome							i_PRE-CB											2023-12-13								Italy: Cannobio				wastewater	46.0708 N 8.6930 E														
SAMN52834536		metagenome	Metagenome or environmental sample from metagenome							i_PRE-GV											2023-11-29								Italy: Gravellona Toce				wastewater	45.9383 N 8.4326 E														
SAMN52834537		metagenome	Metagenome or environmental sample from metagenome							i_PRE-MZ											2024-01-24								Italy: Mergozzo				wastewater	45.9675 N 8.4342 E														
SAMN52834538		metagenome	Metagenome or environmental sample from metagenome							i_PRE-NO											2024-01-11								Italy: Novara				wastewater	45.5700 N 8.4604 E														
SAMN52834539		metagenome	Metagenome or environmental sample from metagenome							i_PRE-VB											2024-01-17								Italy: Verbania				wastewater	45.9403 N 8.5611 E														
