SAMPLE	#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE	GENE_CLEAN
SRR2938313	/home/user/ww_amr_batch/contigs/SRR2938313.contigs.fa	k141_2971	1183	2658	+	msr(E)_1	1-1476/1476	===============	0/0	100.00	100.00	resfinder	FR751518	msr(E)	Azithromycin;Erythromycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S	msr(E)
SRR2938313	/home/user/ww_amr_batch/contigs/SRR2938313.contigs.fa	k141_2971	2714	3598	+	mph(E)_1	1-885/885	===============	0/0	100.00	100.00	resfinder	DQ839391	mph(E)	Erythromycin	mph(E)
SRR2938313	/home/user/ww_amr_batch/contigs/SRR2938313.contigs.fa	k141_3846	587	1453	-	ant(6)-Ia_3	1-867/867	===============	0/0	100.00	99.65	resfinder	KF864551	ant(6)-Ia	Streptomycin	ant(6)-Ia
SRR2938313	/home/user/ww_amr_batch/contigs/SRR2938313.contigs.fa	k141_6934	906	2092	+	tet(39)_2	1-1187/1188	===============	0/0	99.92	99.83	resfinder	CP044518	tet(39)	Doxycycline;Tetracycline;Tigecycline	tet(39)
SRR2938313	/home/user/ww_amr_batch/contigs/SRR2938313.contigs.fa	k141_9274	1	696	-	ant(3'')-Ia_1	170-865/972	..============.	0/0	71.60	99.71	resfinder	X02340	ant(3'')-Ia	Streptomycin	ant(3'')-Ia
SRR2938314	/home/user/ww_amr_batch/contigs/SRR2938314.contigs.fa	k141_10699	877	1733	-	sul1_5	11-867/867	===============	0/0	98.85	99.53	resfinder	EU780013	sul1	Sulfamethoxazole	sul1
SRR2938314	/home/user/ww_amr_batch/contigs/SRR2938314.contigs.fa	k141_12889	1	773	-	erm(F)_3	1-773/801	===============	0/0	96.50	99.87	resfinder	M17808	erm(F)	Clindamycin;Erythromycin;Lincomycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S	erm(F)
SRR2938314	/home/user/ww_amr_batch/contigs/SRR2938314.contigs.fa	k141_1354	202	934	+	CmlA9_1	1-733/1215	==========.....	0/0	60.33	90.45	resfinder	JN406319	CmlA9	Chloramphenicol	CmlA9
SRR2938314	/home/user/ww_amr_batch/contigs/SRR2938314.contigs.fa	k141_14152	137	696	+	cat_2	1-560/624	==============.	0/0	89.74	96.25	resfinder	M35190	cat	Chloramphenicol	cat
SRR2938314	/home/user/ww_amr_batch/contigs/SRR2938314.contigs.fa	k141_17161	92	1279	+	cfr(C)_2	1-1188/1251	===============	0/0	94.96	99.75	resfinder	CANB01000378	cfr(C)	Chloramphenicol;Clindamycin;Dalfopristin;Florfenicol;Lincomycin;Linezolid;Pristinamycin_IIA;Tiamulin;Virginiamycin_M	cfr(C)
SRR2938314	/home/user/ww_amr_batch/contigs/SRR2938314.contigs.fa	k141_19743	1	1798	-	tet(W)_4	1-1798/1920	===============	0/0	93.65	99.56	resfinder	FN396364	tet(W)	Doxycycline;Minocycline;Tetracycline	tet(W)
SRR2938314	/home/user/ww_amr_batch/contigs/SRR2938314.contigs.fa	k141_21143	581	1413	+	tet(40)_1	1-833/1221	===========....	0/0	68.22	99.76	resfinder	FJ158002	tet(40)	Doxycycline;Tetracycline	tet(40)
SRR2938314	/home/user/ww_amr_batch/contigs/SRR2938314.contigs.fa	k141_24786	25	780	+	blaSCO-1_1	1-756/867	==============.	0/0	87.20	99.87	resfinder	EF063111	blaSCO-1	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Piperacillin;Piperacillin+Clavulanic_acid;Ticarcillin;Ticarcillin+Clavulanic_acid	blaSCO-1
SRR2938314	/home/user/ww_amr_batch/contigs/SRR2938314.contigs.fa	k141_26738	1	714	+	aph(6)-Id_1	124-837/837	..=============	0/0	85.30	99.72	resfinder	M28829	aph(6)-Id	Streptomycin	aph(6)-Id
SRR2938314	/home/user/ww_amr_batch/contigs/SRR2938314.contigs.fa	k141_30761	883	1620	-	erm(B)_1	1-738/738	===============	0/0	100.00	100.00	resfinder	JN899585	erm(B)	Clindamycin;Erythromycin;Lincomycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S	erm(B)
SRR2938314	/home/user/ww_amr_batch/contigs/SRR2938314.contigs.fa	k141_31517	358	1833	+	msr(E)_1	1-1476/1476	===============	0/0	100.00	100.00	resfinder	FR751518	msr(E)	Azithromycin;Erythromycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S	msr(E)
SRR2938314	/home/user/ww_amr_batch/contigs/SRR2938314.contigs.fa	k141_31517	1889	2773	+	mph(E)_1	1-885/885	===============	0/0	100.00	100.00	resfinder	DQ839391	mph(E)	Erythromycin	mph(E)
SRR2938314	/home/user/ww_amr_batch/contigs/SRR2938314.contigs.fa	k141_33346	9095	10264	-	tet(O)_2	751-1920/1920	.....==========	0/0	60.94	100.00	resfinder	M20925	tet(O)	Doxycycline;Minocycline;Tetracycline	tet(O)
SRR2938314	/home/user/ww_amr_batch/contigs/SRR2938314.contigs.fa	k141_39385	1	517	+	blaOXA-212_1	19-535/825	==========.....	0/0	62.67	96.71	resfinder	JN861780	blaOXA-212		blaOXA-212
SRR2938314	/home/user/ww_amr_batch/contigs/SRR2938314.contigs.fa	k141_40676	1	926	+	msr(D)_2	277-1202/1464	..===========..	0/0	63.25	97.73	resfinder	AF274302	msr(D)	Azithromycin;Erythromycin;Pristinamycin_IA;Quinupristin;Telithromycin;Virginiamycin_S	msr(D)
SRR2938314	/home/user/ww_amr_batch/contigs/SRR2938314.contigs.fa	k141_47978	321	1187	+	ant(6)-Ia_3	1-867/867	===============	0/0	100.00	99.31	resfinder	KF864551	ant(6)-Ia	Streptomycin	ant(6)-Ia
SRR2938314	/home/user/ww_amr_batch/contigs/SRR2938314.contigs.fa	k141_4971	3697	4692	-	cfxA6_1	1-996/996	===============	0/0	100.00	99.70	resfinder	GQ342996	cfxA6		cfxA6
SRR2938314	/home/user/ww_amr_batch/contigs/SRR2938314.contigs.fa	k141_5396	150	556	-	lnu(C)_1	89-495/495	..=============	0/0	82.22	95.82	resfinder	AY928180	lnu(C)	Lincomycin	lnu(C)
SRR2938314	/home/user/ww_amr_batch/contigs/SRR2938314.contigs.fa	k141_6777	1	764	+	tet(39)_1	281-1044/1122	...===========.	0/0	68.09	100.00	resfinder	KT346360	tet(39)	Doxycycline;Tetracycline;Tigecycline	tet(39)
SRR2938314	/home/user/ww_amr_batch/contigs/SRR2938314.contigs.fa	k141_870	1	404	+	catS_1	134-537/537	...============	0/0	75.23	98.27	resfinder	X74948	catS	Chloramphenicol	catS
SRR2938315	/home/user/ww_amr_batch/contigs/SRR2938315.contigs.fa	k141_1521	2623	4542	-	tet(W)_1	1-1920/1920	===============	0/0	100.00	99.53	resfinder	DQ060146	tet(W)	Doxycycline;Minocycline;Tetracycline	tet(W)
SRR2938315	/home/user/ww_amr_batch/contigs/SRR2938315.contigs.fa	k141_18049	190	1365	-	tet(G)_1	1-1176/1176	===============	0/0	100.00	93.71	resfinder	AF133139	tet(G)	Doxycycline;Tetracycline	tet(G)
SRR2938315	/home/user/ww_amr_batch/contigs/SRR2938315.contigs.fa	k141_1936	190	723	-	ant(2'')-Ia_1	1-534/534	===============	0/0	100.00	99.81	resfinder	X04555	ant(2'')-Ia	Gentamicin;Tobramycin	ant(2'')-Ia
SRR2938315	/home/user/ww_amr_batch/contigs/SRR2938315.contigs.fa	k141_21019	1	559	+	aadA1_2	234-792/792	....===========	0/0	70.58	98.03	resfinder	FJ591054	aadA1	Spectinomycin;Streptomycin	aadA1
SRR2938315	/home/user/ww_amr_batch/contigs/SRR2938315.contigs.fa	k141_24876	1	703	-	aadA5_1	1-703/789	==============.	0/0	89.10	99.29	resfinder	AF137361	aadA5	Spectinomycin;Streptomycin	aadA5
SRR2938315	/home/user/ww_amr_batch/contigs/SRR2938315.contigs.fa	k141_25209	305	1480	+	cmx_1	1-1176/1176	===============	0/0	100.00	99.92	resfinder	U85507	cmx	Chloramphenicol	cmx
SRR2938315	/home/user/ww_amr_batch/contigs/SRR2938315.contigs.fa	k141_2630	411	1262	-	sul1_9	1-852/852	===============	0/0	100.00	100.00	resfinder	AY963803	sul1	Sulfamethoxazole	sul1
SRR2938315	/home/user/ww_amr_batch/contigs/SRR2938315.contigs.fa	k141_26395	332	2230	-	tet(O)_2	22-1920/1920	===============	0/0	98.91	99.47	resfinder	M20925	tet(O)	Doxycycline;Minocycline;Tetracycline	tet(O)
SRR2938315	/home/user/ww_amr_batch/contigs/SRR2938315.contigs.fa	k141_32838	1	675	-	blaCARB-8_1	1-675/897	============...	0/0	75.25	99.70	resfinder	AY178993	blaCARB-8	Amoxicillin;Ampicillin;Piperacillin	blaCARB-8
SRR2938315	/home/user/ww_amr_batch/contigs/SRR2938315.contigs.fa	k141_44281	191	1027	-	aph(6)-Id_1	1-837/837	===============	0/0	100.00	99.88	resfinder	M28829	aph(6)-Id	Streptomycin	aph(6)-Id
SRR2938315	/home/user/ww_amr_batch/contigs/SRR2938315.contigs.fa	k141_44281	1027	1829	-	aph(3'')-Ib_2	2-804/804	===============	0/0	99.88	100.00	resfinder	AF024602	aph(3'')-Ib	Streptomycin	aph(3'')-Ib
SRR2938315	/home/user/ww_amr_batch/contigs/SRR2938315.contigs.fa	k141_50665	170	985	-	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole	sul2
SRR2938316	/home/user/ww_amr_batch/contigs/SRR2938316.contigs.fa	k141_11383	1	511	+	qnrB19_1	16-526/645	=============..	0/0	79.22	100.00	resfinder	EU432277	qnrB19	Ciprofloxacin	qnrB19
SRR2938316	/home/user/ww_amr_batch/contigs/SRR2938316.contigs.fa	k141_16112	955	1821	-	ant(6)-Ia_3	1-867/867	===============	0/0	100.00	99.89	resfinder	KF864551	ant(6)-Ia	Streptomycin	ant(6)-Ia
SRR2938316	/home/user/ww_amr_batch/contigs/SRR2938316.contigs.fa	k141_20258	32	769	-	erm(B)_12	1-738/738	===============	0/0	100.00	100.00	resfinder	U18931	erm(B)	Clindamycin;Erythromycin;Lincomycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S	erm(B)
SRR2938316	/home/user/ww_amr_batch/contigs/SRR2938316.contigs.fa	k141_21861	1564	2970	+	tet(O)_1	1-1407/1920	===========....	0/0	73.28	99.64	resfinder	M18896	tet(O)	Doxycycline;Minocycline;Tetracycline	tet(O)
SRR2938316	/home/user/ww_amr_batch/contigs/SRR2938316.contigs.fa	k141_22124	292	1512	-	tet(40)_2	1-1221/1221	===============	0/0	100.00	99.84	resfinder	AM419751	tet(40)	Doxycycline;Tetracycline	tet(40)
SRR2938316	/home/user/ww_amr_batch/contigs/SRR2938316.contigs.fa	k141_25780	214	1061	-	ant(3'')-Ia_1	125-972/972	.==============	0/0	87.24	98.58	resfinder	X02340	ant(3'')-Ia	Streptomycin	ant(3'')-Ia
SRR2938316	/home/user/ww_amr_batch/contigs/SRR2938316.contigs.fa	k141_35284	32	1207	-	tet(G)_2	1-1176/1176	===============	0/0	100.00	91.92	resfinder	AF133140	tet(G)	Doxycycline;Tetracycline	tet(G)
SRR2938316	/home/user/ww_amr_batch/contigs/SRR2938316.contigs.fa	k141_3534	423	1259	-	aph(6)-Id_1	1-837/837	===============	0/0	100.00	100.00	resfinder	M28829	aph(6)-Id	Streptomycin	aph(6)-Id
SRR2938316	/home/user/ww_amr_batch/contigs/SRR2938316.contigs.fa	k141_3534	1259	2061	-	aph(3'')-Ib_2	2-804/804	===============	0/0	99.88	100.00	resfinder	AF024602	aph(3'')-Ib	Streptomycin	aph(3'')-Ib
SRR2938316	/home/user/ww_amr_batch/contigs/SRR2938316.contigs.fa	k141_39343	326	803	+	catS_1	1-478/537	==============.	0/0	89.01	98.12	resfinder	X74948	catS	Chloramphenicol	catS
SRR2938316	/home/user/ww_amr_batch/contigs/SRR2938316.contigs.fa	k141_43038	266	1557	-	tet(M)_4	629-1920/1920	....===========	0/0	67.29	99.23	resfinder	X75073	tet(M)	Doxycycline;Minocycline;Tetracycline	tet(M)
SRR2938316	/home/user/ww_amr_batch/contigs/SRR2938316.contigs.fa	k141_43159	1406	2924	+	tet(W)_1	1-1519/1920	============...	0/0	79.11	99.14	resfinder	DQ060146	tet(W)	Doxycycline;Minocycline;Tetracycline	tet(W)
SRR2938316	/home/user/ww_amr_batch/contigs/SRR2938316.contigs.fa	k141_44590	156	1236	+	CmlA9_1	1-1081/1215	==============.	0/0	88.97	99.35	resfinder	JN406319	CmlA9	Chloramphenicol	CmlA9
SRR2938316	/home/user/ww_amr_batch/contigs/SRR2938316.contigs.fa	k141_50175	1	625	-	erm(X)_2	1-625/762	=============..	0/0	82.02	98.88	resfinder	X51472	erm(X)	Clindamycin;Erythromycin;Lincomycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S	erm(X)
SRR2938316	/home/user/ww_amr_batch/contigs/SRR2938316.contigs.fa	k141_6012	1	702	-	sul2_14	19-720/819	==============.	0/0	85.71	98.86	resfinder	AJ514834	sul2	Sulfamethoxazole	sul2
SRR2938316	/home/user/ww_amr_batch/contigs/SRR2938316.contigs.fa	k141_61305	1	801	-	cfr(C)_2	359-1159/1251	....==========.	0/0	64.03	100.00	resfinder	CANB01000378	cfr(C)	Chloramphenicol;Clindamycin;Dalfopristin;Florfenicol;Lincomycin;Linezolid;Pristinamycin_IIA;Tiamulin;Virginiamycin_M	cfr(C)
SRR2938316	/home/user/ww_amr_batch/contigs/SRR2938316.contigs.fa	k141_65601	99	965	+	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	sul1	Sulfamethoxazole	sul1
SRR2938316	/home/user/ww_amr_batch/contigs/SRR2938316.contigs.fa	k141_68965	64968	65462	-	lnu(C)_1	1-495/495	===============	0/0	100.00	99.19	resfinder	AY928180	lnu(C)	Lincomycin	lnu(C)
SRR2938317	/home/user/ww_amr_batch/contigs/SRR2938317.contigs.fa	k141_1257	1	500	-	erm(F)_1	1-500/801	==========.....	0/0	62.42	100.00	resfinder	M14730	erm(F)	Clindamycin;Erythromycin;Lincomycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S	erm(F)
SRR2938317	/home/user/ww_amr_batch/contigs/SRR2938317.contigs.fa	k141_13725	1352	3277	+	tet(Q)_1	1-1926/1926	===============	0/0	100.00	99.84	resfinder	L33696	tet(Q)	Doxycycline;Minocycline;Tetracycline	tet(Q)
SRR2938317	/home/user/ww_amr_batch/contigs/SRR2938317.contigs.fa	k141_14187	104	1198	+	cfr(C)_2	1-1095/1251	==============.	0/0	87.53	99.73	resfinder	CANB01000378	cfr(C)	Chloramphenicol;Clindamycin;Dalfopristin;Florfenicol;Lincomycin;Linezolid;Pristinamycin_IIA;Tiamulin;Virginiamycin_M	cfr(C)
SRR2938317	/home/user/ww_amr_batch/contigs/SRR2938317.contigs.fa	k141_20574	1477	2467	-	cfxA6_1	6-996/996	===============	0/0	99.50	99.70	resfinder	GQ342996	cfxA6		cfxA6
SRR2938317	/home/user/ww_amr_batch/contigs/SRR2938317.contigs.fa	k141_21031	784	2703	+	tet(W)_4	1-1920/1920	===============	0/0	100.00	99.38	resfinder	FN396364	tet(W)	Doxycycline;Minocycline;Tetracycline	tet(W)
SRR2938317	/home/user/ww_amr_batch/contigs/SRR2938317.contigs.fa	k141_30162	493	1713	+	tet(40)_1	1-1221/1221	===============	0/0	100.00	99.92	resfinder	FJ158002	tet(40)	Doxycycline;Tetracycline	tet(40)
SRR2938317	/home/user/ww_amr_batch/contigs/SRR2938317.contigs.fa	k141_32848	419	1156	+	erm(B)_12	1-738/738	===============	0/0	100.00	100.00	resfinder	U18931	erm(B)	Clindamycin;Erythromycin;Lincomycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S	erm(B)
SRR2938317	/home/user/ww_amr_batch/contigs/SRR2938317.contigs.fa	k141_33747	610	1072	-	catS_1	1-463/537	=============..	0/0	86.22	98.49	resfinder	X74948	catS	Chloramphenicol	catS
SRR2938317	/home/user/ww_amr_batch/contigs/SRR2938317.contigs.fa	k141_34648	169	663	-	lnu(C)_1	1-495/495	===============	0/0	100.00	98.38	resfinder	AY928180	lnu(C)	Lincomycin	lnu(C)
SRR2938317	/home/user/ww_amr_batch/contigs/SRR2938317.contigs.fa	k141_37305	1	567	-	aph(3'')-Ib_2	2-568/804	===========....	0/0	70.52	99.82	resfinder	AF024602	aph(3'')-Ib	Streptomycin	aph(3'')-Ib
SRR2938317	/home/user/ww_amr_batch/contigs/SRR2938317.contigs.fa	k141_37361	281	1756	+	msr(E)_1	1-1476/1476	===============	0/0	100.00	100.00	resfinder	FR751518	msr(E)	Azithromycin;Erythromycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S	msr(E)
SRR2938317	/home/user/ww_amr_batch/contigs/SRR2938317.contigs.fa	k141_37361	1812	2696	+	mph(E)_1	1-885/885	===============	0/0	100.00	100.00	resfinder	DQ839391	mph(E)	Erythromycin	mph(E)
SRR2938317	/home/user/ww_amr_batch/contigs/SRR2938317.contigs.fa	k141_37608	1	1158	+	tet(O)_2	763-1920/1920	.....==========	0/0	60.31	99.91	resfinder	M20925	tet(O)	Doxycycline;Minocycline;Tetracycline	tet(O)
SRR2938317	/home/user/ww_amr_batch/contigs/SRR2938317.contigs.fa	k141_40901	171	1037	+	ant(6)-Ia_3	1-867/867	===============	0/0	100.00	99.77	resfinder	KF864551	ant(6)-Ia	Streptomycin	ant(6)-Ia
SRR2938317	/home/user/ww_amr_batch/contigs/SRR2938317.contigs.fa	k141_43394	424	1239	-	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole	sul2
SRR2938317	/home/user/ww_amr_batch/contigs/SRR2938317.contigs.fa	k141_43624	527	1273	-	sul1_2	94-840/840	.==============	0/0	88.93	100.00	resfinder	U12338	sul1	Sulfamethoxazole	sul1
SRR2938317	/home/user/ww_amr_batch/contigs/SRR2938317.contigs.fa	k141_48498	9	806	-	ant(3'')-Ia_1	171-968/972	..=============	0/0	82.10	96.24	resfinder	X02340	ant(3'')-Ia	Streptomycin	ant(3'')-Ia
SRR2938317	/home/user/ww_amr_batch/contigs/SRR2938317.contigs.fa	k141_5214	1	563	-	blaGES-11_1	1-563/864	==========.....	0/0	65.16	99.47	resfinder	FJ854362	blaGES-11	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefoxitin;Ceftazidime;Piperacillin;Ticarcillin	blaGES-11
SRR2938318	/home/user/ww_amr_batch/contigs/SRR2938318.contigs.fa	k141_10877	976	1725	+	aph(3'')-Ib_2	2-751/804	===============	0/0	93.28	100.00	resfinder	AF024602	aph(3'')-Ib	Streptomycin	aph(3'')-Ib
SRR2938318	/home/user/ww_amr_batch/contigs/SRR2938318.contigs.fa	k141_11213	152	756	+	mph(E)_1	1-605/885	===========....	0/0	68.36	99.83	resfinder	DQ839391	mph(E)	Erythromycin	mph(E)
SRR2938318	/home/user/ww_amr_batch/contigs/SRR2938318.contigs.fa	k141_2287	1	1307	-	tet(O)_1	1-1307/1920	===========....	0/0	68.07	99.08	resfinder	M18896	tet(O)	Doxycycline;Minocycline;Tetracycline	tet(O)
SRR2938318	/home/user/ww_amr_batch/contigs/SRR2938318.contigs.fa	k141_2671	489	1304	+	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole	sul2
SRR2938318	/home/user/ww_amr_batch/contigs/SRR2938318.contigs.fa	k141_415	578	1444	-	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	sul1	Sulfamethoxazole	sul1
SRR2938318	/home/user/ww_amr_batch/contigs/SRR2938318.contigs.fa	k141_5407	2	624	-	aadA6_1	1-623/846	============...	0/0	73.64	94.54	resfinder	AF140629	aadA6	Spectinomycin;Streptomycin	aadA6
SRR2938318	/home/user/ww_amr_batch/contigs/SRR2938318.contigs.fa	k141_7079	824	2743	+	tet(W)_5	1-1920/1920	===============	0/0	100.00	99.69	resfinder	AJ427422	tet(W)	Doxycycline;Minocycline;Tetracycline	tet(W)
SRR2938318	/home/user/ww_amr_batch/contigs/SRR2938318.contigs.fa	k141_9172	1	685	-	aph(6)-Id_1	1-685/837	=============..	0/0	81.84	99.56	resfinder	M28829	aph(6)-Id	Streptomycin	aph(6)-Id
SRR2938319	/home/user/ww_amr_batch/contigs/SRR2938319.contigs.fa	k141_21288	671	1441	+	cfr(C)_2	1-771/1251	==========.....	0/0	61.63	100.00	resfinder	CANB01000378	cfr(C)	Chloramphenicol;Clindamycin;Dalfopristin;Florfenicol;Lincomycin;Linezolid;Pristinamycin_IIA;Tiamulin;Virginiamycin_M	cfr(C)
SRR2938319	/home/user/ww_amr_batch/contigs/SRR2938319.contigs.fa	k141_21716	80	762	-	erm(B)_12	56-738/738	.==============	0/0	92.55	99.56	resfinder	U18931	erm(B)	Clindamycin;Erythromycin;Lincomycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S	erm(B)
SRR2938319	/home/user/ww_amr_batch/contigs/SRR2938319.contigs.fa	k141_23261	96	559	-	catS_1	12-475/537	==============.	0/0	86.41	97.63	resfinder	X74948	catS	Chloramphenicol	catS
SRR2938319	/home/user/ww_amr_batch/contigs/SRR2938319.contigs.fa	k141_28454	76	715	-	aadA13_1	1-640/798	=============..	0/0	80.20	94.38	resfinder	AY713504	aadA13	Spectinomycin;Streptomycin	aadA13
SRR2938319	/home/user/ww_amr_batch/contigs/SRR2938319.contigs.fa	k141_31049	1	1833	+	tet(M)_5	88-1920/1920	===============	0/0	95.47	98.20	resfinder	U58985	tet(M)	Doxycycline;Minocycline;Tetracycline	tet(M)
SRR2938319	/home/user/ww_amr_batch/contigs/SRR2938319.contigs.fa	k141_31973	1	850	+	ant(6)-Ia_3	18-867/867	===============	0/0	98.04	100.00	resfinder	KF864551	ant(6)-Ia	Streptomycin	ant(6)-Ia
SRR2938319	/home/user/ww_amr_batch/contigs/SRR2938319.contigs.fa	k141_3355	40	573	+	ant(2'')-Ia_1	1-534/534	===============	0/0	100.00	98.69	resfinder	X04555	ant(2'')-Ia	Gentamicin;Tobramycin	ant(2'')-Ia
SRR2938319	/home/user/ww_amr_batch/contigs/SRR2938319.contigs.fa	k141_34861	287	2206	+	tet(W)_5	1-1920/1920	===============	0/0	100.00	99.69	resfinder	AJ427422	tet(W)	Doxycycline;Minocycline;Tetracycline	tet(W)
SRR2938319	/home/user/ww_amr_batch/contigs/SRR2938319.contigs.fa	k141_38720	325	1253	-	msr(E)_1	548-1476/1476	.....==========	0/0	62.94	99.89	resfinder	FR751518	msr(E)	Azithromycin;Erythromycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S	msr(E)
SRR2938319	/home/user/ww_amr_batch/contigs/SRR2938319.contigs.fa	k141_39433	1	1139	-	tet(40)_1	1-1139/1221	==============.	0/0	93.28	99.74	resfinder	FJ158002	tet(40)	Doxycycline;Tetracycline	tet(40)
SRR2938319	/home/user/ww_amr_batch/contigs/SRR2938319.contigs.fa	k141_4954	3355	4644	+	tet(O)_1	1-1290/1920	===========....	0/0	67.19	99.69	resfinder	M18896	tet(O)	Doxycycline;Minocycline;Tetracycline	tet(O)
SRR2938319	/home/user/ww_amr_batch/contigs/SRR2938319.contigs.fa	k141_5108	160	962	-	aph(3'')-Ib_2	2-804/804	===============	0/0	99.88	100.00	resfinder	AF024602	aph(3'')-Ib	Streptomycin	aph(3'')-Ib
SRR2938320	/home/user/ww_amr_batch/contigs/SRR2938320.contigs.fa	k141_1815	1099	1901	+	aph(3'')-Ib_2	2-804/804	===============	0/0	99.88	99.50	resfinder	AF024602	aph(3'')-Ib	Streptomycin	aph(3'')-Ib
SRR2938320	/home/user/ww_amr_batch/contigs/SRR2938320.contigs.fa	k141_1815	1901	2426	+	aph(6)-Id_1	1-526/837	==========.....	0/0	62.84	100.00	resfinder	M28829	aph(6)-Id	Streptomycin	aph(6)-Id
SRR2938320	/home/user/ww_amr_batch/contigs/SRR2938320.contigs.fa	k141_18941	817	2736	+	tet(W)_4	1-1920/1920	===============	0/0	100.00	99.64	resfinder	FN396364	tet(W)	Doxycycline;Minocycline;Tetracycline	tet(W)
SRR2938320	/home/user/ww_amr_batch/contigs/SRR2938320.contigs.fa	k141_20640	1	544	-	erm(B)_1	65-608/738	.============..	0/0	73.71	99.08	resfinder	JN899585	erm(B)	Clindamycin;Erythromycin;Lincomycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S	erm(B)
SRR2938320	/home/user/ww_amr_batch/contigs/SRR2938320.contigs.fa	k141_25616	296	1471	+	cmx_1	1-1176/1176	===============	0/0	100.00	94.73	resfinder	U85507	cmx	Chloramphenicol	cmx
SRR2938320	/home/user/ww_amr_batch/contigs/SRR2938320.contigs.fa	k141_26300	5	1192	-	tet(39)_2	1-1188/1188	===============	0/0	100.00	99.83	resfinder	CP044518	tet(39)	Doxycycline;Tetracycline;Tigecycline	tet(39)
SRR2938320	/home/user/ww_amr_batch/contigs/SRR2938320.contigs.fa	k141_27072	7043	8962	-	tet(O)_1	1-1920/1920	===============	0/0	100.00	99.69	resfinder	M18896	tet(O)	Doxycycline;Minocycline;Tetracycline	tet(O)
SRR2938320	/home/user/ww_amr_batch/contigs/SRR2938320.contigs.fa	k141_354	491	1357	-	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	sul1	Sulfamethoxazole	sul1
SRR2938320	/home/user/ww_amr_batch/contigs/SRR2938320.contigs.fa	k141_7632	1	813	-	mph(E)_1	1-813/885	==============.	0/0	91.86	99.88	resfinder	DQ839391	mph(E)	Erythromycin	mph(E)
SRR2938320	/home/user/ww_amr_batch/contigs/SRR2938320.contigs.fa	k141_7632	869	2344	-	msr(E)_1	1-1476/1476	===============	0/0	100.00	100.00	resfinder	FR751518	msr(E)	Azithromycin;Erythromycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S	msr(E)
SRR2938320	/home/user/ww_amr_batch/contigs/SRR2938320.contigs.fa	k141_8734	107	898	+	aph(3')-III_1	1-792/795	===============	0/0	99.62	100.00	resfinder	M26832	aph(3')-III	Amikacin;Butirosin;Isepamicin;Kanamycin;Lividomycin;Neomycin;Paromomycin;Ribostamycin	aph(3')-III
SRR2938320	/home/user/ww_amr_batch/contigs/SRR2938320.contigs.fa	k141_8828	1	693	-	ant(3'')-Ia_1	146-838/972	..===========..	0/0	71.30	99.13	resfinder	X02340	ant(3'')-Ia	Streptomycin	ant(3'')-Ia
SRR2938321	/home/user/ww_amr_batch/contigs/SRR2938321.contigs.fa	k141_11328	1032	2883	-	tet(W)_5	69-1920/1920	===============	0/0	96.46	99.57	resfinder	AJ427422	tet(W)	Doxycycline;Minocycline;Tetracycline	tet(W)
SRR2938321	/home/user/ww_amr_batch/contigs/SRR2938321.contigs.fa	k141_12584	994	1878	-	mph(E)_1	1-885/885	===============	0/0	100.00	99.89	resfinder	DQ839391	mph(E)	Erythromycin	mph(E)
SRR2938321	/home/user/ww_amr_batch/contigs/SRR2938321.contigs.fa	k141_12584	1934	3409	-	msr(E)_1	1-1476/1476	===============	0/0	100.00	100.00	resfinder	FR751518	msr(E)	Azithromycin;Erythromycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S	msr(E)
SRR2938321	/home/user/ww_amr_batch/contigs/SRR2938321.contigs.fa	k141_1329	130	727	+	aph(6)-Id_1	173-770/837	...===========.	0/0	71.45	99.67	resfinder	M28829	aph(6)-Id	Streptomycin	aph(6)-Id
